CD,STN,ITEMNO,REGISTRATIONDATE,PASSDATE,RELEASEDATE,TIME,CPC,CONSIGNEEPIN,CONSIGNEENAME,AGENTPIN,AGENTNAME,CONSIGNORNAME,IDFNUMBER,CON,COO,CFS,HSCODE,PRODUCTDESCRIPTION,BRAND,SIZE_AH,GRADE,ITEMGROSSWEIGHT,ITEMNETWEIGHT,QUANTITY,UNIT_WEIGHT,CUSTOMSVALUE,FOBVALUE,FOBINVOICEAMOUNT,DECLARED_PRICE,FOBCURRENCYCODE,UNIT,IMPORTDUTY,EXCISEDUTY,VAT,EXPORTDUTY,TAXCOMPUTED,TAXREMITTED,DUTYRATE,VATRATE,EXCISERATE,CURRENCY,EXCHANGERATE,MESSAGE,F147_NO,F147_DESCRIPTION,F147_AMOUNT, EXTRA_UNIT_PRICE ,ADJ_PRICE
2020MSA7509312,MSA,1,20-Apr-20,24-Apr-20,24-Apr-20,4,C400,P051732420V    ,CLASSIC COMMODITIES LIMITED,P051437914D    ,AIR MENZIES INTERNATIONAL,CHIRAG COMMODITIES C.K.K,E1904144779,PK ,PK ,POR ,10063000.00,PAKISTAN LONG GRAIN IRRI-6 WHITE RICE GRADE-3 AFRICAN CLASSIC BRAND,AFRICAN CLASSIC,NA,3,417248.00,416000.00,416000.00,1.00,15680117.71,137280.00,14593262.11,35.08,USD,kg,8484070.00,0.00,0.00,0.00,8484070.00,0.00,35.00,0.00,0.00,USD,106.30,NA,NA,NA,NA,,
2020MSA7516522,MSA,1,29-Apr-20,29-Apr-20,30-Apr-20,1,C400,P051732420V    ,CLASSIC COMMODITIES LIMITED,P051501541P    ,TRANSMAIL INTERNATIONAL LIMITED,CHIRAG COMMODITIES (CKC),E1904144779,PK ,PK ,BFT ,10063000.00,PAKISTAN LONG GRAIN WHITE RICE IRRI 6:GRADE 3,UNKNOWN,NA,3,417248.00,416000.00,416000.00,1.00,16259825.06,141440.00,15182749.50,36.50,USD,kg,8484070.00,0.00,0.00,0.00,8484070.00,0.00,35.00,0.00,0.00,USD,107.34,NA,NA,NA,NA,,
2020MSA7499577,MSA,1,03-Apr-20,06-Apr-20,06-Apr-20,3,C400,P051732420V    ,CLASSIC COMMODITIES LIMITED,P051437914D    ,AIR MENZIES INTERNATIONAL,CHIRAG COMMODITIES C.K.C,E1904144779,PK ,PK ,BFT ,10063000.00,PAKISTAN LONG GRAIN WHITE RICE GRADE 3 AFRICAN CLASSIC BRAND,AFRICAN CLASSIC,NA,3,417248.00,416000.00,416000.00,1.00,15519633.36,137280.00,14443874.02,34.72,USD,kg,8484070.00,0.00,0.00,0.00,8484070.00,0.00,35.00,0.00,0.00,USD,105.21,NA,NA,NA,NA,,
2020MSA7536980,MSA,1,26-May-20,27-May-20,28-May-20,2,C400,P051732420V    ,CLASSIC COMMODITIES LIMITED,P051437914D    ,AIR MENZIES INTERNATIONAL,CHIRAG COMMODITIES C.K.C,E1904144779,PK ,PK ,POR ,10063000.00,PAKISTAN LONG GRAIN WHITE RICE IRRI-6 GRADE-3 AFRICAN CLASSIC BRAND,AFRICAN CLASSIC,NA,3,417248.00,416000.00,416000.00,1.00,15793105.78,137280.00,14698487.23,35.33,USD,kg,8484070.00,0.00,0.00,0.00,8484070.00,0.00,35.00,0.00,0.00,USD,107.07,NA,NA,NA,NA,,
2020MSA7550558,MSA,1,12-Jun-20,22-Jun-20,22-Jun-20,10,C400,P051732420V    ,CLASSIC COMMODITIES LIMITED,P051437914D    ,AIR MENZIES INTERNATIONAL,CHIRAG COMMODITIES C.K.C,E1904144779,PK ,PK ,AUT ,10063000.00,PAKISTAN LONG GRAIN WHITE RICE IRRI-6 GRADE-3 AFRICAN CLASSIC BRAND,AFRICAN CLASSIC,NA,3,260780.00,260000.00,260000.00,1.00,9789379.53,85800.00,9110878.92,35.04,USD,kg,5302544.00,0.00,0.00,0.00,5302544.00,0.00,35.00,0.00,0.00,USD,106.19,NA,NA,NA,NA,,
2020MSA7490026,MSA,1,21-Mar-20,23-Mar-20,26-Mar-20,5,C400,P051732420V    ,CLASSIC COMMODITIES LIMITED,P051501541P    ,TRANSMAIL INTERNATIONAL LIMITED,CHIRAG COMMODITIES (C.K.C),E1904144779,PK ,PK ,MIT ,10063000.00,PAKISTAN LONG GRAIN WHITE RICE IRRI 6:GRADE 3,UNKNOWN,NA,3,182546.00,182000.00,182000.00,1.00,6797268.75,61880.00,6344339.82,34.86,USD,kg,3711781.00,0.00,0.00,0.00,3711781.00,0.00,35.00,0.00,0.00,USD,102.53,NA,NA,NA,NA,,
2020MSA7524845,MSA,1,11-May-20,15-May-20,16-May-20,5,C400,P051732420V    ,CLASSIC COMMODITIES LIMITED,P051501541P    ,TRANSMAIL INTERNATIONAL LIMITED,CHIRAG COMMODTIES (CKC),E1904144779,PK ,PK ,POR ,10063000.00,PAKISTAN LONG GRAIN IRRI 6 WHITE RICE:GRADE 3,UNKNOWN,NA,3,417248.00,416000.00,416000.00,1.00,16072754.67,141440.00,15008028.67,36.08,USD,kg,8484070.00,0.00,0.00,0.00,8484070.00,0.00,35.00,0.00,0.00,USD,106.11,NA,NA,NA,NA,,
2020MSA7549828,MSA,1,11-Jun-20,26-Jun-20,26-Jun-20,15,C400,P051732420V    ,CLASSIC COMMODITIES LIMITED,P051501541P    ,TRANSMAIL INTERNATIONAL LIMITED,CHIRAG COMMODITIES (C.K.C),E1904144779,PK ,PK ,AUT ,10063000.00,"PAKISTAN LONG GRAIN WHITE RICE IRRI-6 GRADE 3,BRAND:AFRICAN CLASSIC",AFRICAN CLASSIC,NA,3,417248.00,416000.00,416000.00,1.00,15907874.47,141440.00,15019145.86,36.10,USD,kg,8484070.00,0.00,0.00,0.00,8484070.00,0.00,35.00,0.00,0.00,USD,106.19,NA,NA,NA,NA,,
2020MSA7487929,MSA,1,19-Mar-20,19-Mar-20,20-Mar-20,1,C400,P051732420V    ,CLASSIC COMMODITIES LIMITED,P051501541P    ,TRANSMAIL INTERNATIONAL LIMITED,CHIRAG COMMODITIES (C.K.C),E1904144779,PK ,PK ,MIT ,10063000.00,PAKISTAN LONG GRAIN WHITE RICE IRRI 6:GRADE 3,UNKNOWN,NA,3,234702.00,234000.00,234000.00,1.00,8737880.88,79560.00,8157008.34,34.86,USD,kg,4772290.00,0.00,0.00,0.00,4772290.00,0.00,35.00,0.00,0.00,USD,102.53,NA,NA,NA,NA,,
2020MSA7520919,MSA,1,05-May-20,20-May-20,20-May-20,15,C400,P051732420V    ,CLASSIC COMMODITIES LIMITED,P051437914D    ,AIR MENZIES INTERNATIONAL,CHIRAG COMMODITIES C.K.C,E1904144779,PK ,PK ,POR ,10063000.00,PAKISTAN LONG GRAIN WHITE RICE IRRI-6 GRADE-3 AFRICAN CLASSIC BRAND,AFRICAN CLASSIC,NA,3,417248.00,416000.00,416000.00,1.00,15840602.06,137280.00,14742663.94,35.44,USD,kg,8484070.00,0.00,0.00,0.00,8484070.00,0.00,35.00,0.00,0.00,USD,107.39,NA,NA,NA,NA,,
2020MSA7542295,MSA,1,03-Jun-20,06-Jun-20,08-Jun-20,5,C400,P051732420V    ,CLASSIC COMMODITIES LIMITED,P051437914D    ,AIR MENZIES INTERNATIONAL,CHIRAG COMMODITIES C.K.C,E1904144779,PK ,PK ,MIT ,10063000.00,PAKISTAN LONG GRAIN WHITE RICE IRRI-6 GRADE-3 AFRICAN CLASSIC BRAND,AFRICAN CLASSIC,NA,3,417248.00,416000.00,416000.00,1.00,15789418.18,137280.00,14694931.68,35.32,USD,kg,8484070.00,0.00,0.00,0.00,8484070.00,0.00,35.00,0.00,0.00,USD,107.04,NA,NA,NA,NA,,
2020MSA7425801,MSA,1,03-Jan-20,07-Jan-20,07-Jan-20,4,C400,P051648143M    ,APIRAN INTERNATIONAL LIMITED,P051437914D    ,AIR MENZIES INTERNATIONAL,MARVEL AGRO COMMODITIES ,E1904146320,PK ,PK ,BFT ,10063000.00,7x20 STC PAKISTAN LONG GRAIN WHITE RICE GRADE-1 MAARUFU BRAND PACKED IN PP BAGS OF 25 KGS,MAARUFU,NA,1,182574.00,182000.00,182000.00,1.00,7082101.72,65520.00,6629529.82,36.43,USD,kg,3711781.00,0.00,0.00,0.00,3711781.00,0.00,35.00,0.00,0.00,USD,101.18,NA,NA,NA,NA,,
2020MSA7461593,MSA,1,17-Feb-20,20-Feb-20,20-Feb-20,3,C400,P051648143M    ,APIRAN INTERNATIONAL LIMITED,P051437914D    ,AIR MENZIES INTERNATIONAL,MARVEL AGRO COMMODITIES,E1904146320,PK ,PK ,AUT ,10063000.00,PAKISTAN LONG GRAIN WHITE RICE GRADE-1 MAARUFU BRAND,MAARUFU,NA,1,78246.00,78000.00,78000.00,1.00,3020067.96,28080.00,2827077.55,36.24,USD,kg,1590763.00,0.00,0.00,0.00,1590763.00,0.00,35.00,0.00,0.00,USD,100.68,NA,NA,NA,NA,,
2020MSA7475944,MSA,1,04-Mar-20,07-Mar-20,09-Mar-20,5,C400,P051648143M    ,APIRAN INTERNATIONAL LIMITED,P051437914D    ,AIR MENZIES INTERNATIONAL,MARVEL AGRO COMMODITIES,E1904146320,PK ,PK ,POR ,10063000.00,5x20 STC PAKISTAN LONG GRAIN WHITE RICE GRADE1 MAARUFU BRAND  PACKED IN PP BAGS OF 25 KGS,MAARUFU,NA,1,130410.00,130000.00,130000.00,1.00,5053594.59,46800.00,4730656.32,36.39,USD,kg,2651272.00,0.00,0.00,0.00,2651272.00,0.00,35.00,0.00,0.00,USD,101.08,NA,NA,NA,NA,,
2020MSA7502900,MSA,1,09-Apr-20,14-Apr-20,15-Apr-20,6,C400,P051648143M    ,APIRAN INTERNATIONAL LIMITED,P051437914D    ,AIR MENZIES INTERNATIONAL,MARVEL AGRO COMMODITIES,E1904146320,PK ,PK ,POR ,10063000.00,PAKISTAN LONG GRAIN WHITE RICE GRADE-1 MAARUFU BRAND,MAARUFU,NA,1,417312.00,416000.00,416000.00,1.00,16920707.76,149760.00,15839411.33,38.08,USD,kg,8484070.00,0.00,0.00,0.00,8484070.00,0.00,35.00,0.00,0.00,USD,105.77,NA,NA,NA,NA,,
2020MSA7431063,MSA,1,09-Jan-20,15-Jan-20,15-Jan-20,6,C400,P051648143M    ,APIRAN INTERNATIONAL LIMITED,P051437914D    ,AIR MENZIES INTERNATIONAL,MARVEL AGRO COMMODITIES,E1904146320,PK ,PK ,BFT ,10063000.00,PAKISTAN LONG GRAIN WHITE RICE GRADE-1 MAARUFU BRAND,MAARUFU,NA,1,130410.00,130000.00,130000.00,1.00,5052444.71,46800.00,4729551.84,36.38,USD,kg,2651272.00,0.00,0.00,0.00,2651272.00,0.00,35.00,0.00,0.00,USD,101.06,NA,NA,NA,NA,,
2020MSA7443026,MSA,1,23-Jan-20,25-Jan-20,27-Jan-20,4,C400,P051648143M    ,APIRAN INTERNATIONAL LIMITED,P051437914D    ,AIR MENZIES INTERNATIONAL,MARVEL AGRO COMMODITIES,E1904146320,PK ,PK ,BFT ,10063000.00,PAKISTAN LONG GRAIN RICE GRADE-1 MAARUFU BRAND,MAARUFU,NA,1,182574.00,182000.00,182000.00,1.00,7074472.48,65520.00,6622335.72,36.39,USD,kg,3711781.00,0.00,0.00,0.00,3711781.00,0.00,35.00,0.00,0.00,USD,101.07,NA,NA,NA,NA,,
2020MSA7431081,MSA,1,09-Jan-20,13-Jan-20,14-Jan-20,5,C400,P051648143M    ,APIRAN INTERNATIONAL LIMITED,P051437914D    ,AIR MENZIES INTERNATIONAL,MARVEL AGRO COMMODITIES,E1904146320,PK ,PK ,BFT ,10063000.00,PAKISTAN LONG GRAIN WHITE RICE GRADE-1 MAARUFU BRAND,MAARUFU,NA,1,417312.00,416000.00,416000.00,1.00,16167823.06,149760.00,15134565.89,36.38,USD,kg,8484070.00,0.00,0.00,0.00,8484070.00,0.00,35.00,0.00,0.00,USD,101.06,NA,NA,NA,NA,,
2020MSA7707251,MSA,1,21-Dec-20,22-Dec-20,23-Dec-20,2,C400,P051732420V    ,CLASSIC COMMODITIES LIMITED,P051545705E    ,UNIVERSAL FREIGHTERS LIMITED,CHIRAG COMMODITIES CKC,E1904146403,PK ,PK ,POR ,10063000.00,"PAKISTAN LONG GRAIN WHITE RICE GRADE 2,BRAND:MAVRA",MAVRA,NA,2,130390.00,130000.00,130000.00,1.00,5377006.80,45500.00,5081066.90,39.09,USD,kg,2903472.00,0.00,0.00,0.00,2903472.00,0.00,35.00,0.00,0.00,USD,111.67,NA,NA,NA,NA,,
2020MSA7548074,MSA,1,10-Jun-20,17-Jun-20,17-Jun-20,7,C400,P051732420V    ,CLASSIC COMMODITIES LIMITED,P051437914D    ,AIR MENZIES INTERNATIONAL,CHIRAG COMMODITIES C.K.C,E1904146403,PK ,PK ,AUT ,10063000.00,PAKISTAN LONG GRAIN WHITE RICE GRADE-2 MAVRA BRAND,MAVRA,NA,2,417248.00,416000.00,416000.00,1.00,16546483.09,145600.00,15460885.44,37.17,USD,kg,8484070.00,0.00,0.00,0.00,8484070.00,0.00,35.00,0.00,0.00,USD,106.19,NA,NA,NA,NA,,
2020MSA7454195,MSA,1,06-Feb-20,10-Feb-20,12-Feb-20,6,C400,P051732420V    ,CLASSIC COMMODITIES LIMITED,P051437914D    ,AIR MENZIES INTERNATIONAL,CHIRAG COMMODITIES CKC,E1904146403,PK ,PK ,AUT ,10063000.00,PAKISTAN LONG GRAIN WHITE RICE GRADE-2 MAVRA BRAND ,MAVRA,NA,2,260780.00,260000.00,260000.00,1.00,9805712.15,91000.00,9162307.70,35.24,USD,kg,5302544.00,0.00,0.00,0.00,5302544.00,0.00,35.00,0.00,0.00,USD,100.68,NA,NA,NA,NA,,
2020MSA7459984,MSA,1,14-Feb-20,20-Feb-20,20-Feb-20,6,C400,P051732420V    ,CLASSIC COMMODITIES LIMITED,P051437914D    ,AIR MENZIES INTERNATIONAL,CHIRAG COMMODITIES CKC,E1904146403,PK ,PK ,BFT ,10063000.00,PAKISTAN LONG GRAIN WHITE RICE GRADE-2 MAVRA BRAND,MAVRA,NA,2,417248.00,416000.00,416000.00,1.00,15667635.73,145600.00,14639657.76,35.19,USD,kg,8484070.00,0.00,0.00,0.00,8484070.00,0.00,35.00,0.00,0.00,USD,100.55,NA,NA,NA,NA,,
2020MSA7498399,MSA,1,02-Apr-20,15-Apr-20,15-Apr-20,13,C400,P051732420V    ,CLASSIC COMMODITIES LIMITED,P051437914D    ,AIR MENZIES INTERNATIONAL,CHIRAG COMMODITIES C.K.C,E1904146403,PK ,PK ,POR ,10063000.00,PAKISTAN LONG GRAIN WHITE RICE GRADE-2 MAVRA BRAND,MAVRA,NA,2,521560.00,520000.00,520000.00,1.00,20493777.70,182000.00,19149075.40,36.83,USD,kg,10605088.00,0.00,0.00,0.00,10605088.00,0.00,35.00,0.00,0.00,USD,105.21,NA,NA,NA,NA,,
2020MSA7480702,MSA,1,11-Mar-20,12-Mar-20,12-Mar-20,1,C400,P051707901G    ,AISHA TRADERS LIMITED,P051428427H    ,DOT COM CONSULTANTS LIMITED,AD FINE,E1905152443,PK ,PK ,POR ,10063000.00,6 X 20 PAKISTAN LONG GRAIN WHITE RICE GRADE I,UNKNOWN,NA,1,156970.00,156000.00,156000.00,1.00,6411706.38,59280.00,6085263.91,39.01,USD,kg,3181526.00,0.00,0.00,0.00,3181526.00,0.00,35.00,0.00,0.00,USD,102.65,NA,NA,NA,NA,,
2020MSA7473776,MSA,1,02-Mar-20,03-Mar-20,05-Mar-20,3,C400,P051707901G    ,AISHA TRADERS LIMITED,P051428427H    ,DOT COM CONSULTANTS LIMITED,AD FINE,E1905152443,PK ,PK ,CNT ,10063000.00,9 X 20 PAKISTAN LONG GRAIN WHITE RICE GRADE I ,UNKNOWN,NA,1,235440.00,234000.00,234000.00,1.00,9470372.58,88920.00,8988247.01,38.41,USD,kg,4772290.00,0.00,0.00,0.00,4772290.00,0.00,35.00,0.00,0.00,USD,101.08,NA,NA,NA,NA,,
2020MSA7512351,MSA,1,23-Apr-20,02-May-20,04-May-20,11,C400,P051707901G    ,AISHA TRADERS LIMITED,P051428427H    ,DOT COM CONSULTANTS LIMITED,AD FINE,E1905152443,,PK ,MTC ,10063000.00,8 X 20 PAKISTAN LONG GRAIN RICE GRADE I ,UNKNOWN,NA,1,209368.00,208000.00,208000.00,1.00,8852913.84,79040.00,8402181.22,40.40,USD,kg,4242035.00,0.00,0.00,0.00,4242035.00,0.00,35.00,0.00,0.00,USD,106.30,NA,NA,NA,NA,,
2020MSA7504573,MSA,1,14-Apr-20,17-Apr-20,23-Apr-20,9,C400,P051707901G    ,AISHA TRADERS LIMITED,P051428427H    ,DOT COM CONSULTANTS LIMITED,AD FINE ,E1905152443,PK ,PK ,POR ,10063000.00,7 X 20 PAKISTAN LONG GRAIN RICE GRADE I,UNKNOWN,NA,1,181503.00,180000.00,180000.00,1.00,7646915.28,68400.00,7257479.40,40.32,USD,kg,3670992.00,0.00,0.00,0.00,3670992.00,0.00,35.00,0.00,0.00,USD,106.10,NA,NA,NA,NA,,
2020MSA7577508,MSA,1,11-Jul-20,16-Jul-20,16-Jul-20,5,C400,P051604519Z    ,SHAWAL AGENCY LIMITED,P051428436I    ,TIDAL LOGISTICS LIMITED,M/S AL ASAD RICE MILLS,E1905166108,PK ,PK ,MIT ,10063000.00,PAKISTANI LONG GRAIN MILLED RICE GRADE II PACKED IN 25KG BAGS BRAND-SINDANO/LADHA,SINDANO,NA,2,78468.00,78000.00,78000.00,1.00,3800122.24,33540.00,3580928.29,45.91,USD,kg,1590763.00,0.00,0.00,0.00,1590763.00,0.00,35.00,0.00,0.00,USD,106.77,"HVO MIT
PREVERIFIED:1/3X20FT CNER  TCKU2079160
SEAL S FD INTACT
MARKS & NOS  CORRECT AS DECLARED
OPENED  FTC  PAKISTAN LONG GRAIN MILLED     RICE . GRADE  2
 CROP 2018  LOT NO 02
PKG  DATE 06/2020
EXP  05/2023
BRAND : SINDANO
25KGS /BAG 1040 BAGS PER CNER",2020MSA1582378,Import Duty                ,74787.00,,
2020MSA7476171,MSA,1,04-Mar-20,05-Mar-20,05-Mar-20,1,C400,P051604519Z    ,SHAWAL AGENCY LIMITED,P051428436I    ,TIDAL LOGISTICS LIMITED,M/S AL ASAD RICE MILLS,E1905166108,PK ,PK ,MIT ,10063000.00,PAKISTANI LONG GRAIN MILLED RICE GRADE II PACKED IN BAGS OF 25KGS SINDANO BRAND,SINDANO,NA,2,209248.00,208000.00,208000.00,1.00,9589952.59,89440.00,9040809.86,43.47,USD,kg,4242035.00,0.00,0.00,0.00,4242035.00,0.00,35.00,0.00,0.00,USD,101.08,NA,NA,NA,NA,,
2020MSA7530160,MSA,1,16-May-20,28-May-20,28-May-20,12,C400,P051604519Z    ,SHAWAL AGENCY LIMITED,P051428436I    ,TIDAL LOGISTICS LIMITED,M/S AL ASAD RICE MILLS,E1905166108,PK ,PK ,MIT ,10063000.00,PAKISTANI LONG GRAIN MILLED RICE GRADE II PACKED IN BAGS OF 25KGS BRAND-SINDANO,SINDANO,NA,2,235404.00,234000.00,234000.00,1.00,11324907.46,100620.00,10676667.46,45.63,USD,kg,4772290.00,0.00,0.00,0.00,4772290.00,0.00,35.00,0.00,0.00,USD,106.11,NA,NA,NA,NA,,
2020MSA7485708,MSA,1,17-Mar-20,23-Mar-20,23-Mar-20,6,C400,P051604519Z    ,SHAWAL AGENCY LIMITED,P051428436I    ,TIDAL LOGISTICS LIMITED,M/S AL ASAD RICE MILLS,E1905166108,PK ,PK ,MIT ,10063000.00,7x20FT CNTRS S T C PAKISTANI LONG GRAIN MILLED RICE GRADE II PACKED IN 25KG BAGS BRAND-SINDANO (MSKU5164091/TCLU1988043/MSKU3368692),SINDANO,NA,2,183092.00,182000.00,182000.00,1.00,8511400.94,78260.00,8023723.89,44.09,USD,kg,3711781.00,0.00,0.00,0.00,3711781.00,0.00,35.00,0.00,0.00,USD,102.53,NA,NA,NA,NA,,
2020MSA7436849,MSA,1,16-Jan-20,20-Jan-20,21-Jan-20,5,C400,P051604519Z    ,SHAWAL AGENCY LIMITED,P051428436I    ,TIDAL LOGISTICS LIMITED,AL-ASAD RICE MILLS,E1905166108,PK ,PK ,MIT ,10063000.00,PAKISTANI LONG GRAIN MILLED RICE GRADE II PACKED IN BAGS OF 25 KGS BRAND-SINDANO,SINDANO,NA,2,209248.00,208000.00,208000.00,1.00,9647919.99,89440.00,9095412.98,43.73,USD,kg,4242035.00,0.00,0.00,0.00,4242035.00,0.00,35.00,0.00,0.00,USD,101.69,NA,NA,NA,NA,,
2020MSA7450921,MSA,1,03-Feb-20,06-Feb-20,07-Feb-20,4,C400,P051604519Z    ,SHAWAL AGENCY LIMITED,P051428436I    ,TIDAL LOGISTICS LIMITED,M/S AL ASAD RICE MILLS,E1905166108,PK ,PK ,MIT ,10063000.00,PAKISTANI LONG GRAIN MILLED RICE GRADE II PACKED IN BAGS OF 25 KGS BRAND-SINDANO (SUDU7629463/TGHU0657498),SINDANO,NA,2,156936.00,156000.00,156000.00,1.00,7164845.29,67080.00,6753929.68,43.29,USD,kg,3181526.00,0.00,0.00,0.00,3181526.00,0.00,35.00,0.00,0.00,USD,100.68,NA,NA,NA,NA,,
2020MSA7508633,MSA,1,18-Apr-20,28-Apr-20,28-Apr-20,10,C400,P051604519Z    ,SHAWAL AGENCY LIMITED,P051428436I    ,TIDAL LOGISTICS LIMITED,M/S AL ASAD RICE MILLS,E1905166108,PK ,PK ,MIT ,10063000.00,PAKISTANI LONG GRAIN MILLED RICE GRADE II PACKED IN 25KG BAGS BRAND-SINDANO,SINDANO,NA,2,235404.00,234000.00,234000.00,1.00,11324373.82,100620.00,10676134.17,45.62,USD,kg,4772290.00,0.00,0.00,0.00,4772290.00,0.00,35.00,0.00,0.00,USD,106.10,NA,NA,NA,NA,,
2020MSA7425757,MSA,1,03-Jan-20,07-Jan-20,07-Jan-20,4,C400,P051603286K    ,ASIA AGRO COMMODITIES,P051428427H    ,DOT COM CONSULTANTS LIMITED,A.K INTERNATIONAL ,E1905170726,PK ,PK ,POR ,10063000.00,8 X 20 PAKISTANI LONG GRAIN WHITE RICE GRADE III,UNKNOWN,NA,3,208624.00,208000.00,208000.00,1.00,7371181.55,68640.00,6945221.71,33.39,USD,kg,4242035.00,0.00,0.00,0.00,4242035.00,0.00,35.00,0.00,0.00,USD,101.18,NA,NA,NA,NA,,
2020MSA7432916,MSA,1,13-Jan-20,14-Jan-20,14-Jan-20,1,C400,P051603286K    ,ASIA AGRO COMMODITIES,P051428427H    ,DOT COM CONSULTANTS LIMITED,A.K INTERNATIONAL,E1905170726,PK ,PK ,POR ,10063000.00,10 X 20 PAKISTAN LONG GRAIN WHITE RICE GRADE III,UNKNOWN,NA,3,260728.00,260000.00,260000.00,1.00,9264232.30,85800.00,8725250.82,33.56,USD,kg,5302544.00,0.00,0.00,0.00,5302544.00,0.00,35.00,0.00,0.00,USD,101.69,NA,NA,NA,NA,,
2020MSA7634762,MSA,5,11-Sep-20,11-Sep-20,16-Sep-20,5,C400,P000591111Y    ,MANTRAC KENYA LIMITED,P051141176P    ,PRECISE LOGISTICS LIMITED,UNA TRADING FZE,E1906182637,AE ,BE ,MCT ,85071000.00,NEW BATTERIES ( IDF PART ),UNKNOWN,,UNKNOWN,297.00,297.00,12.00,24.75,296645.33,2361.09,255995.04,21332.92,USD,u ,74161.00,0.00,26907.00,0.00,65345.00,0.00,25.00,14.00,0.00,USD,108.42,"HVO MCT
SIGHTED 1X40FT STC
NEW CATERPILLAR MACHINERY EQUIPMENT SPARE PARTS
MRKS AND NOS CORRECT
PROCESSED AS PER AEO GUIDELINES
FILE FORWARDED FOR FURTHER GUIDANCE ON PROCESSING",NA,NA,NA,,
2020MSA7673497,MSA,6,02-Nov-20,03-Nov-20,04-Nov-20,2,C400,P000591111Y    ,MANTRAC KENYA LIMITED,P051141176P    ,PRECISE LOGISTICS LIMITED,UNA TRADING FZE,E1906182637,AE ,BE ,MCT ,85071000.00,NEW BATTERIES ( IDF PART ),UNKNOWN,,UNKNOWN,80.00,80.00,6.00,13.33,144847.61,1158.50,126182.43,21030.40,USD,u ,36212.00,0.00,22125.00,0.00,53732.00,0.00,25.00,14.00,0.00,USD,109.01,NA,NA,NA,NA,,
2020MSA7643953,MSA,27,22-Sep-20,22-Sep-20,23-Sep-20,1,C400,P000591111Y    ,MANTRAC KENYA LIMITED,P051141176P    ,PRECISE LOGISTICS LIMITED,UNA TRADING FZE,E1906182637,AE ,BE ,MCT ,85071000.00,NEW BATTERIES ( IDF PART ),UNKNOWN,,UNKNOWN,453.00,453.00,6.00,75.50,164754.88,1390.83,150892.82,25148.80,USD,u ,41189.00,0.00,21826.00,0.00,53006.00,0.00,25.00,14.00,0.00,USD,108.49,"HVO MCT
SIGHTED 1X40FT CNER#
CAIU9095797
MARKS AND NOS CORRECT STC
NEW CATERPILLAR MACHINERY EQUIPMENT SPARE PARTS
PROCESSED AS PER AEO
FILE FORWARDED FOR GUIDANCE ON FURTHER PROCESSING",NA,NA,NA,,
2020MSA7695087,MSA,12,04-Dec-20,09-Dec-20,10-Dec-20,6,C400,P000591111Y    ,MANTRAC KENYA LIMITED,P051141176P    ,PRECISE LOGISTICS LIMITED,UNA TRADING FZE,E1906182637,AE ,BE ,MCT ,85071000.00,NEW BATTERIES,UNKNOWN,,UNKNOWN,264.00,264.00,8.00,33.00,234470.50,1797.72,197901.47,24737.68,USD,u ,58618.00,0.00,153018.00,0.00,371615.00,0.00,25.00,14.00,0.00,USD,111.16,NA,NA,NA,NA,,
2020MSA7713107,MSA,8,31-Dec-20,31-Dec-20,13-Jan-21,13,C400,P000591111Y    ,MANTRAC KENYA LIMITED,P051141176P    ,PRECISE LOGISTICS LIMITED,UNA TRADING FZE,E1906182637,AE ,BE ,MCT ,85071000.00,NEW BATTERIES,UNKNOWN,,UNKNOWN,130.00,130.00,5.00,26.00,146265.12,1163.68,126711.02,25342.20,USD,u ,36566.00,0.00,72327.00,0.00,175652.00,0.00,25.00,14.00,0.00,USD,107.00,NA,NA,NA,NA,,
2020MSA7570152,MSA,2,03-Jul-20,03-Jul-20,07-Jul-20,4,C400,P000591111Y    ,MANTRAC KENYA LIMITED,P051141176P    ,PRECISE LOGISTICS LIMITED,UNA TRADING FZE,E1906182637,AE ,BE ,MCT ,85071000.00,NEW BATTERIES ,UNKNOWN,,UNKNOWN,111.00,111.00,4.00,27.75,170633.19,1361.12,145109.00,36277.25,USD,u ,42658.00,0.00,114862.00,0.00,278951.00,0.00,25.00,14.00,0.00,USD,107.00,"RELEASED 1*20 FCIU3131154

BALANCE NIL",NA,NA,NA,,
2020MSA7617950,MSA,12,24-Aug-20,24-Aug-20,25-Aug-20,1,C400,P000591111Y    ,MANTRAC KENYA LIMITED,P051141176P    ,PRECISE LOGISTICS LIMITED,UNATRADING FZE,E1906182637,AE ,BE ,MCT ,85071000.00,NEW BATTERIES ( IDF PART ),UNKNOWN,,UNKNOWN,65.00,65.00,2.00,32.50,86609.02,680.56,73574.52,36787.26,USD,u ,21652.00,0.00,364136.00,0.00,884331.00,0.00,25.00,14.00,0.00,USD,108.32,"HVO/VO

AS PER THE DIRECTIVE FROM COMMISSIONER C&BC. CONFIRM GENERATION, AUTHENTICITY & ENSURE SUBMISSION OF COC DATA BEFORE RELEASE. 

DO DPC
",NA,NA,NA,,
